city1,city2,transit_distance [m],transit_time [s],departure city,arrival city
London,Valletta,-1,-1,,
Segrate,Valletta,-1,-1,,
Lisbon,Valletta,-1,-1,,
Manchester,Valletta,-1,-1,,
Nis,Valletta,-1,-1,,
Innsbruck,Edinburgh,2380129,72420,,
Balice,Edinburgh,2335888,84738,,
London,Edinburgh,673363,32400,,
Luton,Edinburgh,624891,32100,,
Lyon,Edinburgh,1606638,53603,,
Valletta,Edinburgh,-1,-1,,
Kuusamo,Helsinki,900615,32781,,
Kittila,Helsinki,1072935,47100,,
Kuopio,Helsinki,432475,14880,,
Segrate,Helsinki,2817105,152220,,
Lisbon,Helsinki,4456764,201600,,
Manchester,Helsinki,2971406,150600,,
Ioannina,Spata,917970,101332,,
Santorini Island,Spata,-1,-1,,
Kos Island,Spata,-1,-1,,
Ozarowice,Spata,1899532,131166,,
London,Spata,3664682,192958,,
Mytilene,Spata,-1,-1,,
Balice,Stockholm,2089243,85818,,
London,Stockholm,2147903,106200,,
Lulea,Stockholm,944754,43380,,
Lyon,Stockholm,2553498,106523,,
Malmo,Stockholm,596149,24780,,
Malmo,Stockholm,596149,24780,,
Segrate,Munich,544374,40260,,
Lisbon,Munich,2700923,101100,,
Lyon,Munich,820072,45983,,
Manchester,Munich,1705487,58140,,
Valletta,Munich,-1,-1,,
London,Geneva,938682,42840,,
Lesquin,Geneva,759842,36372,,
Lisbon,Geneva,2324819,78240,,
Luton,Geneva,984878,43200,,
Manchester,Geneva,1380327,50400,,
Balice,Orio al Serio,1308372,68816,,
Kaunas,Orio al Serio,2155368,101770,,
Lisbon,Orio al Serio,-1,-1,,
Luxembourg,Orio al Serio,772596,59219,,
Valletta,Orio al Serio,-1,-1,,
Ozarowice,Alicante,3471890,126975,,
Leeds,Alicante,-1,-1,,
Lisbon,Alicante,1002310,44040,,
Manchester,Alicante,-1,-1,,
Marseille,Alicante,938395,48480,,
London,Zaventem,407372,29400,,
Segrate,Zaventem,1256805,46020,,
Lisbon,Zaventem,2176200,77580,,
Valletta,Zaventem,-1,-1,,
Balice,Luton,1752527,70398,,
Ozarowice,Luton,1725760,70636,,
Cluj,Luton,-1,-1,,
Lublin,Luton,1916809,75497,,
Chisinau,Lisbon,4375981,192994,,
London,Lisbon,3059868,110400,,
Manchester,Lisbon,2628945,107640,,
Marseille,Lisbon,1590152,72600,,
Kittila,Zurich,3516334,184200,,
London,Zurich,1009585,47820,,
Lisbon,Zurich,2530925,90420,,
Valletta,Zurich,-1,-1,,
Castletown,London,-1,-1,,
Saint,London,-1,-1,,
Lisbon,London,2355271,83160,,
Manchester,London,340402,43800,,
Innsbruck,Vienna,501046,18840,,
Balice,Vienna,495540,27018,,
London,Vienna,1852190,69360,,
Lisbon,Vienna,3164811,122820,,
Balice,Rome,1538615,70425,,
Lisbon,Rome,3232202,124860,,
Manchester,Rome,2209640,76740,,
Leeds,San Bartolome,-1,-1,,
Lyon,San Bartolome,-1,-1,,
Manchester,San Bartolome,-1,-1,,
Lisbon,Cologne,2391159,89940,,
Manchester,Cologne,892880,41700,,
Valletta,Cologne,-1,-1,,
London,Lyon,830124,40620,,
Lisbon,Lyon,2167072,68700,,
Marseille,Lyon,405424,24023,,
Ibiza,Valencia,209726,27447,,
Balice,Valencia,2755714,122538,,
Lisbon,Valencia,938716,38520,,
Ozarowice,Catania,2468602,109798,,
Segrate,Catania,1314895,64651,,
Valletta,Catania,-1,-1,,
London,Saint,-1,-1,,
Luton,Saint,-1,-1,,
Manchester,Saint,-1,-1,,
Luton,Belfast,879925,54660,,
Manchester,Belfast,502634,44160,,
Manchester,Belfast,502634,44160,,
Balice,Oslo,2036332,88485,,
London,Oslo,2076660,108600,,
Lisbon,Oslo,3792990,164100,,
Balice,Charleroi,1380589,60078,,
Valletta,Charleroi,-1,-1,,
Marseille,Charleroi,1145267,39376,,
Manchester,Budapest,2408930,84120,,
Marseille,Budapest,1542302,75355,,
Kazan,Samara,-1,-1,,
Mineralnyye Vody,Samara,2897242,157740,,
Luxembourg,El Matorral,-1,-1,,
Manchester,El Matorral,-1,-1,,
London,Salzburg,1543725,60540,,
Manchester,Salzburg,-1,-1,,
Leeds,Viviers,1443142,44889,,
Manchester,Viviers,1395529,45009,,
Leeds,Balice,2083238,97957,,
Manchester,Balice,2134837,101749,,
Kosice,Prague,730901,30480,,
Manchester,Prague,1661514,71700,,
Luton,Wroclaw,1581289,76500,,
Manchester,Wroclaw,1870218,81545,,
Liverpool,Gdansk,-1,-1,,
Luton,Gdansk,1761143,78720,,
Alicante,Liverpool,-1,-1,,
Rovaniemi,Liverpool,-1,-1,,
Lisbon,Postage,-1,-1,,
Luxembourg,Postage,-1,-1,,
London,Ferno,-1,-1,,
Lisbon,Ferno,-1,-1,,
Leeds,Poznan,1740857,72360,,
Manchester,Poznan,1817197,64130,,
Innsbruck,Frankfurt am Main,-1,-1,,
Manchester,Frankfurt am Main,1072714,46260,,
Gatwick,Saint Helier,291378,25959,,
Southampton,Saint Helier,234377,21399,,
Balice,Bologna,1224899,62325,,
London,Bologna,1502358,66540,,
Balice,Gothenburg,1791456,81138,,
London,Gothenburg,1871226,94260,,
Balice,Warsaw,388994,19365,,
Lisbon,Warsaw,4269593,141720,,
Balice,Cagliari,2028512,124785,,
Segrate,Cagliari,1041786,67260,,
Balice,Pisa,1380895,68865,,
Valletta,Pisa,-1,-1,,
Balice,Toulouse,-1,-1,,
London,Toulouse,1220929,51600,,
Luton,Suceava,2399111,118512,,
Luton,Prishtina,2778574,154589,,
Luton,Tromso,3933251,182117,,
Luton,Vilnius,2283550,111763,,
Manchester,Seville,2614404,112800,,
Innsbruck,Bristol,1942814,64200,,
Nis,Zgornji Brnik,796195,58392,,
Frankfurt am Main,Nis,1545861,89077,,
Manchester,Copenhagen,1958821,88200,,
Manchester,Funchal,-1,-1,,
Manchester,Castletown,-1,-1,,
Manchester,Corvera,2729752,105900,,
Manchester,Jasionka,2177513,95846,,
Manchester,Santander,-1,-1,,
Kjevik,Bergen,411882,49044,,
Manchester,Venezia,2055239,75840,,
Manchester,Caselle,1846096,73602,,
Luton,Iasi,2587092,154107,,
Melilla,Almeria,-1,-1,,
Marseille,Ajaccio,-1,-1,,
Marseille,Bastia,-1,-1,,
Marseille,Nantes,1188649,40516,,
Mineralnyye Vody,Sochi,1126473,36120,,
Mineralnyye Vody,Cherepovets,-1,-1,,
Mineralnyye Vody,Chelyabinsk,5274603,248760,,
Mineralnyye Vody,Kaluga,-1,-1,,
Mineralnyye Vody,Magnitogorsk,4374004,221400,,
Mineralnyye Vody,Nizhnekamsk,-1,-1,,
Mineralnyye Vody,Perm,5411395,192720,,
Mineralnyye Vody,Ufa,-1,-1,,
Melilla,Granada,-1,-1,,
Lisbon,Praia da Vitoria,-1,-1,,
Innsbruck,Manchester,2044275,64980,,
Lisbon,Ponta Delgada,-1,-1,,
Balice,Podgorica,1785726,172004,,
Spata,Kavala,644337,32269,,
Balice,Nykoping,2005186,87465,,
Balice,Lesquin,1443367,63774,,
Leeds,Faro,3013136,119640,,
Balice,Eindhoven,1229198,60378,,
El Matorral,Schkeuditz,-1,-1,,
London,Aberdeen,-1,-1,,
London,Billund,1374967,75180,,
Balice,Tille,1957177,77586,,
London,Gibraltar,2321936,121811,,
London,Paisley,-1,-1,,
Balice,Birmingham,1886297,74358,,
London,Segrate,1260971,67620,,
Kirkenes,Vadso,155369,36460,,
Moscow,Krasnoyarsk,-1,-1,,
London,Nice,1383183,51660,,
London,Newcastle,432047,14220,,
Kos Island,Thessaloniki,-1,-1,,
Segrate,Brindisi,1149183,49140,,
Kos Island,Rhodes,140689,18332,,
Segrate,Reggio Calabria,1208148,53580,,
Segrate,Lamezia Terme,1094837,51900,,
Lisbon,Bordeaux,1284397,60900,,
Moscow,Kaliningrad,1303745,90684,,
Lisbon,Luxembourg,2253202,88888,,
Spata,Mykonos,-1,-1,,
Mineralnyye Vody,Volgograd,1343796,81720,,
Ferno,Madrid,-1,-1,,
Nice,Madrid,1297402,45600,,
Nantes,Madrid,836131,55500,,
Paris,Madrid,1049942,55800,,
Ranon,Madrid,453215,27857,,
Palermo,Madrid,2286076,138900,,
Pamplona,Madrid,334346,18900,,
Prague,Madrid,2770259,74700,,
Pisa,Madrid,1689062,75720,,
Santiago de Compostela,Madrid,633390,11100,,
Santander,Madrid,-1,-1,,
Sofia,Madrid,3478272,163800,,
Sta Cruz de la Palma,Madrid,-1,-1,,
London,Madrid,1783116,70560,,
Minsk,Moscow,1044496,29880,,
Minsk,Moscow,1044496,29880,,
Novokuznetsk,Moscow,-1,-1,,
Beslan,Moscow,3308674,186975,,
Orsk,Moscow,2543466,117900,,
Perm,Moscow,2107130,88320,,
Perm,Moscow,2107130,88320,,
Petrozavodsk,Moscow,1046454,44940,,
Orenburg,Moscow,1907595,94560,,
Sabetta,Moscow,-1,-1,,
Syktyvkar,Moscow,-1,-1,,
Syktyvkar,Moscow,-1,-1,,
Munich,Barcelona,1537928,55860,,
Ferno,Barcelona,-1,-1,,
Napoli,Barcelona,-1,-1,,
Nice,Barcelona,672651,32880,,
Paris,Barcelona,834126,47710,,
Ranon,Barcelona,1054522,37817,,
Palermo,Barcelona,1661325,126180,,
Prague,Barcelona,2164088,63060,,
Sofia,Barcelona,2501740,134820,,
Sta Cruz de la Palma,Barcelona,-1,-1,,
London,Barcelona,1503477,60960,,
Munich,Malaga,2648382,81300,,
Newcastle,Malaga,2656156,114600,,
Weeze,Malaga,2257111,97200,,
Paris,Malaga,1603347,69120,,
Oslo,Malaga,3944068,156420,,
Prague,Malaga,3274542,88500,,
Rotterdam,Malaga,2271941,78420,,
London,Malaga,2272216,83580,,
Napoli,Otopeni,-1,-1,,
Nykoping,Otopeni,3148807,157211,,
Oradea,Otopeni,763720,50040,,
Billund,Otopeni,2743271,132060,,
Bologna,Otopeni,1672492,102420,,
Rome,Otopeni,2047516,119820,,
Gatwick,Otopeni,2981091,142620,,
London,Otopeni,2688075,138420,,
Munich,Valencia,1890955,72420,,
Napoli,Valencia,1941299,100402,,
Paris,Valencia,1134635,64630,,
Palermo,Valencia,2024250,141180,,
Pisa,Valencia,1429572,80640,,
Santiago de Compostela,Valencia,1030811,21780,,
London,Valencia,1850158,77520,,
Munich,Thessaloniki,1592447,95820,,
Weeze,Thessaloniki,2190249,120000,,
Nuremberg,Thessaloniki,1681447,99240,,
Rhodes,Thessaloniki,-1,-1,,
Stuttgart,Thessaloniki,1886166,103800,,
London,Thessaloniki,2804245,146100,,
Ferno,Zurich,-1,-1,,
Nice,Zurich,650132,41520,,
Ohrid,Zurich,1762571,130483,,
Oslo,Zurich,2085052,83100,,
Pula,Zurich,780728,41400,,
Ilinden,Zurich,-1,-1,,
Ferno,Postage,-1,-1,,
Madrid,Postage,-1,-1,,
Paris,Postage,-1,-1,,
Ponta Delgada,Postage,-1,-1,,
Pisa,Postage,-1,-1,,
London,Postage,-1,-1,,
Ferno,Amsterdam,-1,-1,,
Nantes,Amsterdam,938884,39540,,
Oslo,Amsterdam,1553365,69300,,
Riga,Amsterdam,1969393,89100,,
Split,Amsterdam,1862066,83700,,
London,Amsterdam,535353,35760,,
Ferno,Alicante,-1,-1,,
Newcastle,Alicante,-1,-1,,
Oslo,Alicante,3929227,157140,,
Rotterdam,Alicante,-1,-1,,
Sofia,Alicante,2959639,163800,,
London,Alicante,2251643,80880,,
Minsk,St. Petersburg,1038523,71340,,
Nizhnekamsk,St. Petersburg,-1,-1,,
Perm,St. Petersburg,3643201,114600,,
Orenburg,St. Petersburg,2550610,113400,,
Syktyvkar,St. Petersburg,3224544,181080,,
Simferopol,St. Petersburg,-1,-1,,
Alicante,Munich,2497066,85380,,
Stockholm,Munich,1948285,70200,,
Dresden,Munich,601902,28200,,
Ferno,Munich,-1,-1,,
Sibiu,Munich,1244973,64380,,
Sofia,Munich,1421825,82200,,
Nantes,San Bartolome,-1,-1,,
Paris,San Bartolome,-1,-1,,
Ranon,San Bartolome,-1,-1,,
Santiago de Compostela,San Bartolome,-1,-1,,
London,San Bartolome,-1,-1,,
Napoli,Orio al Serio,842944,37532,,
Palermo,Orio al Serio,1465761,54791,,
Prague,Orio al Serio,950921,57526,,
Sofia,Orio al Serio,1498358,83137,,
London,Orio al Serio,1286260,69783,,
Ferno,Paris,-1,-1,,
Ferno,Paris,-1,-1,,
Nice,Paris,940150,35460,,
Oslo,Paris,2080881,81780,,
Prague,Paris,1069952,36960,,
Ferno,Vienna,-1,-1,,
Napoli,Vienna,1489329,67822,,
Riga,Vienna,1347911,75900,,
Sofia,Vienna,1001505,57600,,
London,Vienna,1852190,69360,,
Munich,Gatwick,1362605,41640,,
Ferno,Gatwick,-1,-1,,
Newquay,Gatwick,481083,29700,,
Paris,Gatwick,443282,33600,,
Sofia,Gatwick,-1,-1,,
Munich,El Matorral,-1,-1,,
Ferno,El Matorral,-1,-1,,
Newcastle,El Matorral,-1,-1,,
Nantes,El Matorral,-1,-1,,
London,El Matorral,-1,-1,,
Nantes,Geneva,924501,42240,,
Prague,Geneva,988856,46020,,
Riga,Geneva,2276759,122580,,
Southend,Geneva,979054,44760,,
London,Geneva,938682,42840,,
Napoli,Rome,188802,4769,,
Olbia,Rome,291804,62040,,
Palermo,Rome,841446,38240,,
Ilinden,Rome,-1,-1,,
London,Rome,1819754,77460,,
Ferno,Spata,-1,-1,,
Ilinden,Spata,-1,-1,,
Sofia,Spata,830602,48266,,
London,Spata,3664682,192958,,
Napoli,Ferno,-1,-1,,
Paris,Ferno,-1,-1,,
Palermo,Ferno,-1,-1,,
London,Ferno,-1,-1,,
Ferno,Catania,-1,-1,,
Napoli,Catania,539115,29789,,
Sofia,Catania,-1,-1,,
London,Catania,2565107,110322,,
Ferno,Helsinki,-1,-1,,
Oslo,Helsinki,1231790,69720,,
Prague,Helsinki,-1,-1,,
Riga,Helsinki,397713,31832,,
Napoli,London,2138048,78982,,
Palermo,London,2807239,106380,,
Riga,London,2515646,129780,,
Sofia,London,-1,-1,,
Palermo,Napoli,639921,33702,,
Sofia,Napoli,-1,-1,,
London,Napoli,2032116,83482,,
Napoli,Segrate,797147,34942,,
Olbia,Segrate,-1,-1,,
Palermo,Segrate,929198,83580,,
Napoli,Charleroi,1999164,74662,,
Pisa,Charleroi,1617452,69360,,
Sofia,Charleroi,2209512,109740,,
Munich,Bologna,546693,26100,,
Palermo,Bologna,1199341,46220,,
London,Bologna,1502358,66540,,
Ilinden,Eindhoven,-1,-1,,
Sofia,Eindhoven,2084072,106860,,
London,Eindhoven,569292,36420,,
Napoli,Venezia,736402,35902,,
Palermo,Venezia,1294091,53540,,
London,Venezia,1511372,75780,,
Oslo,Stockholm,719197,34080,,
Riga,Stockholm,902724,86962,,
London,Stockholm,2147903,106200,,
Paris,Valletta,-1,-1,,
Ilinden,Valletta,-1,-1,,
Sofia,Valletta,-1,-1,,
Riga,Copenhagen,2061673,95160,,
Ilinden,Copenhagen,-1,-1,,
Sofia,Copenhagen,2262207,120840,,
Sarajevo,Cologne,1598842,91980,,
Ilinden,Cologne,-1,-1,,
London,Cologne,741065,45360,,
Riga,Salzburg,1659887,86700,,
Rotterdam,Salzburg,1078237,44100,,
London,Salzburg,1543725,60540,,
Palermo,Memmingen,1732571,86060,,
Sofia,Memmingen,1538016,88500,,
Paris,Southampton,525599,38580,,
Saint Helier,Southampton,233724,22872,,
Oslo,Tromso,1610177,125777,,
Hadsel,Tromso,401285,29308,,
Palermo,Nuremberg,1786289,82040,,
London,Nuremberg,993850,49440,,
Ilinden,Rheinmunster,-1,-1,,
Sofia,Rheinmunster,1757175,99303,,
Riga,Warsaw,695996,42180,,
Sofia,Warsaw,1686008,89940,,
Palermo,Pisa,728139,64380,,
London,Pisa,1613385,78300,,
Palermo,Caselle Torinese,962387,89318,,
London,Caselle Torinese,1445719,70118,,
Riga,Bristol,2710123,137820,,
Sofia,Bristol,-1,-1,,
Riga,Lisbon,4731151,199860,,
London,Lisbon,3059868,110400,,
Ilinden,Bratislava,-1,-1,,
London,Bratislava,1933446,75185,,
Sibiu,Luton,-1,-1,,
Sofia,Luton,-1,-1,,
Paris,Nice,943507,39660,,
Sofia,Nice,1757577,101400,,
Oslo,Gothenburg,263798,13500,,
London,Gothenburg,1871226,94260,,
Munich,Hamburg,825097,27720,,
Prishtina,Hamburg,2372666,146028,,
Munich,Stuttgart,293719,7800,,
Prishtina,Stuttgart,1824202,121968,,
Ferno,Cagliari,-1,-1,,
Parma,Cagliari,914342,66780,,
Nantes,Marseille,1149919,37598,,
London,Marseille,1148730,47438,,
Nice,Bastia,-1,-1,,
Paris,Bastia,-1,-1,,
Napoli,Ronchi dei Legionari,842963,41962,,
London,Ronchi dei Legionari,1665722,78924,,
Ferno,Vilnius,-1,-1,,
Riga,Vilnius,296757,20115,,
Napoli,Sofia,-1,-1,,
London,Sofia,2664554,128700,,
Napoli,Balice,1911092,102179,,
London,Balice,1774464,88657,,
Munich,Prishtina,1262074,97529,,
Ferno,Prishtina,-1,-1,,
London,Viviers,1101986,28989,,
London,Bydgoszcz,1553204,79680,,
London,Budapest,2099835,78780,,
Paris,Tarbes,745741,42857,,
London,Bordeaux,964228,39900,,
London,Faro,2773126,96840,,
London,Billund,1374967,75180,,
London,Belfast,878292,51780,,
Sofia,Varna,619760,42883,,
Sofia,Treviso,1136761,81120,,
Ilinden,Zagreb,-1,-1,,
London,Edinburgh,673363,32400,,
London,Genova,1554881,67320,,
London,Gdansk,1737165,88650,,
London,Saint,-1,-1,,
Ilinden,Frankfurt am Main,-1,-1,,
London,Ozarowice,1741169,87613,,
London,Lodz,1658735,84240,,
London,Poznan,1401630,73620,,
London,Prague,1526744,76500,,
London,Riga,2374323,126466,,
London,Santiago de Compostela,2377572,88620,,
London,Seville,2253374,81240,,
London,Olsztyn,1705150,87840,,
London,Goleniow,1326851,72180,,
London,Rinas,2461954,140258,,
London,Torp,-1,-1,,
Ilinden,Nykoping,-1,-1,,
Munich,Graz,424433,18900,,
Munich,Birmingham,1497170,46080,,
Munich,Zaventem,825390,37920,,
Paris,Montpellier,689348,35760,,
Naryan Mar,Kazan,-1,-1,,
Paris,Toulouse,588070,33300,,
Oslo,Bergen,482204,26640,,
Oslo,Stavanger,584896,32100,,
Ranon,Weeze,1729418,109337,,
Ponta Delgada,Horta,-1,-1,,
Ponta Delgada,Vila do Porto,-1,-1,,
Napoli,Palermo,339319,36288,,
Ferno,Podgorica,-1,-1,,
Ferno,Lamezia Terme,-1,-1,,
Palermo,Caselle,962041,88902,,
Orio al Serio,Pescara,656000,38264,,
Vila Baleira,Funchal,-1,-1,,
Vila Baleira,Oslo,-1,-1,,
Ferno,Jasionka,-1,-1,,
Riga,Kittila,-1,-1,,
Ferno,Bacau,-1,-1,,
Riga,Palanga,531085,36710,,
Riga,Tallinn,319373,20492,,
Otopeni,Suceava,468743,26892,,
Paris,Ivalo,3889711,191151,,
Bodo,Hadsel,334778,26650,,
Ilinden,Belgrade,-1,-1,,
Munich,Greven,768915,38400,,
London,Vigo,2472931,92220,,
Arkhangelsk,Moscow,-1,-1,,
Chelyabinsk,Moscow,-1,-1,,
Izhevsk,Moscow,1528463,97800,,
Krasnoyarsk,Moscow,-1,-1,,
Ufa,Moscow,3448951,84480,,
Ufa,Moscow,3448951,84480,,
Ufa,Moscow,3448951,84480,,
Ulyanovsk,Moscow,1313631,56940,,
Ulyanovsk,Moscow,1313631,56940,,
Bugulma,Moscow,1826268,84420,,
Kaliningrad,Moscow,1832277,81384,,
Nizhnekamsk,Moscow,-1,-1,,
Volgograd,Moscow,1850832,85200,,
Volgograd,Moscow,1850832,85200,,
Seville,Barcelona,1339767,45000,,
Rinas,Barcelona,2120563,138949,,
Caselle Torinese,Barcelona,957511,56033,,
Venezia,Barcelona,-1,-1,,
Vigo,Barcelona,1316211,29820,,
Vienna,Barcelona,2480790,81960,,
Warsaw,Barcelona,2796867,101170,,
Warsaw,Barcelona,2796867,101170,,
Jerez de la Frontera,Barcelona,-1,-1,,
Zurich,Barcelona,1072286,60060,,
Seville,Madrid,738460,34920,,
Toulouse,Madrid,689688,35100,,
Caselle Torinese,Madrid,1586501,70133,,
Venezia,Madrid,-1,-1,,
Vigo,Madrid,682836,16200,,
Vienna,Madrid,2745457,88680,,
Valencia,Madrid,398351,6780,,
Jerez de la Frontera,Madrid,-1,-1,,
Zurich,Madrid,1701276,74160,,
Salzburg,Helsinki,2155024,120780,,
Tallinn,Helsinki,86284,10020,,
Trondheim,Helsinki,1709393,106620,,
Vaasa,Helsinki,419874,13860,,
Vienna,Helsinki,1933618,117900,,
Vilnius,Helsinki,671904,54600,,
Warsaw,Helsinki,1089352,68760,,
Zurich,Helsinki,2546658,134640,,
Toulouse,Munich,1501464,58380,,
Caselle Torinese,Munich,776281,47273,,
Venezia,Munich,507193,30600,,
Vienna,Munich,455693,16140,,
Vilnius,Munich,1736485,66780,,
Warsaw,Munich,1258113,44400,,
Zagreb,Munich,547928,29280,,
Zurich,Munich,570891,29160,,
Stavanger,Amsterdam,-1,-1,,
Salzburg,Amsterdam,1045276,38280,,
Tampere,Amsterdam,2145592,127560,,
Trondheim,Amsterdam,2190943,115440,,
Torp,Amsterdam,-1,-1,,
Venezia,Amsterdam,1368873,62940,,
Warsaw,Amsterdam,1245793,55140,,
Zagreb,Amsterdam,1408600,61140,,
Seville,Paris,2112683,80100,,
Seville,Paris,2112683,80100,,
Venezia,Paris,1414754,52380,,
Venezia,Paris,1414754,52380,,
Vienna,Paris,1362533,43860,,
Warsaw,Paris,1712257,64860,,
Zurich,Paris,583839,33000,,
Seville,London,2617180,93060,,
Rinas,London,2513368,142069,,
Tours,London,942527,45960,,
Venezia,London,1780655,70020,,
Venezia,London,1780655,70020,,
Warsaw,London,1835478,71760,,
Zagreb,London,-1,-1,,
Caselle Torinese,Otopeni,2241021,130913,,
Treviso,Otopeni,1603273,112980,,
Timisoara,Otopeni,674977,48107,,
Vienna,Otopeni,1146401,65580,,
Warsaw,Otopeni,-1,-1,,
Zurich,Otopeni,1869221,100620,,
Salzburg,Stockholm,2081974,74820,,
Rinas,Stockholm,3358794,176809,,
Tallinn,Stockholm,534104,77869,,
Caselle Torinese,Stockholm,2506704,117113,,
Umea,Stockholm,709688,28440,,
Zurich,Stockholm,2086993,80580,,
Moscow,St. Petersburg,643476,31140,,
Ufa,St. Petersburg,4340610,101520,,
Ulyanovsk,St. Petersburg,1957526,72240,,
Moscow,St. Petersburg,643476,31140,,
Volgograd,St. Petersburg,3461445,127500,,
Voronezh,St. Petersburg,1260547,47280,,
Seville,Orio al Serio,2292145,82895,,
Rinas,Orio al Serio,1160677,81666,,
Timisoara,Orio al Serio,1459170,76125,,
Vienna,Orio al Serio,901226,42723,,
Warsaw,Orio al Serio,1813577,73738,,
Seville,Rome,2800056,88500,,
Rinas,Rome,722903,66289,,
Rinas,Rome,722903,66289,,
Venezia,Rome,533970,27240,,
Warsaw,Rome,2123477,79080,,
Vienna,Malaga,3076153,124980,,
Vilnius,Malaga,3858754,158040,,
Warsaw,Malaga,3579983,135900,,
Wroclaw,Malaga,3292897,117905,,
Zurich,Malaga,2175139,85260,,
Salzburg,Hamburg,964647,41520,,
Rinas,Hamburg,2278269,130309,,
Varna,Hamburg,2295654,140526,,
Vienna,Hamburg,935616,39420,,
Zurich,Hamburg,1070853,42720,,
Rinas,Tille,-1,-1,,
Treviso,Tille,1229684,67041,,
Timisoara,Tille,2017784,79928,,
Vilnius,Tille,2339532,107814,,
Zaragoza,Tille,1197328,47094,,
Rinas,Charleroi,2050923,133489,,
Treviso,Charleroi,1508506,69540,,
Warsaw,Charleroi,1445619,65340,,
Zagreb,Charleroi,-1,-1,,
Salzburg,Gatwick,1603537,49380,,
Tallinn,Gatwick,2881878,126840,,
Caselle Torinese,Gatwick,1341664,51773,,
Vienna,Gatwick,1912002,59520,,
Rinas,Spata,-1,-1,,
Vienna,Spata,1837758,109258,,
Warsaw,Spata,2271442,138051,,
Zakynthos,Spata,-1,-1,,
Tallinn,Geneva,2873025,138000,,
Vienna,Geneva,1055504,42180,,
Warsaw,Geneva,1717442,68160,,
Zurich,Geneva,278706,11400,,
Stavanger,Gdansk,1622968,119160,,
Tromso,Gdansk,2544124,161745,,
Caselle,Gdansk,1963124,81971,,
Warsaw,Gdansk,623852,29100,,
Stavanger,Bergen,206341,19074,,
Tromso,Bergen,1910666,132765,,
Trondheim,Bergen,960069,58500,,
Torp,Bergen,-1,-1,,
Otopeni,Stuttgart,1953923,103380,,
Thessaloniki,Stuttgart,1929406,118860,,
Vienna,Stuttgart,749625,25560,,
Zurich,Stuttgart,454595,20040,,
Vienna,Zaventem,1135642,47640,,
Valencia,Zaventem,1605364,62580,,
Warsaw,Zaventem,1384969,61140,,
Zurich,Zaventem,601429,36660,,
London,Warsaw,1699120,82680,,
Seville,Warsaw,3780912,115020,,
Torp,Warsaw,-1,-1,,
Torp,Warsaw,-1,-1,,
Rinas,Edinburgh,3142106,157849,,
Venezia,Edinburgh,2409387,85980,,
Zurich,Edinburgh,1599634,60360,,
London,Caselle,1445374,69702,,
Rinas,Caselle,1259988,84391,,
Warsaw,Caselle,1982283,77742,,
Rinas,Bologna,899478,71089,,
Valencia,Bologna,-1,-1,,
Zurich,Bologna,498911,24900,,
Toulouse,Valletta,-1,-1,,
Treviso,Valletta,-1,-1,,
Vienna,Valletta,-1,-1,,
Tampere,Tallinn,273166,17280,,
Vienna,Tallinn,1760512,106560,,
Warsaw,Tallinn,986254,52980,,
Caselle Torinese,Lamezia Terme,-1,-1,,
Venezia,Lamezia Terme,1057532,43980,,
Caselle,Lamezia Terme,-1,-1,,
Vienna,Zurich,781564,31500,,
Warsaw,Zurich,1555997,61740,,
Zagreb,Zurich,879826,43020,,
London,Vilnius,2200055,113203,,
Caselle Torinese,Vilnius,2495339,114463,,
Warsaw,Vilnius,503763,26923,,
Rinas,Frankfurt am Main,1774265,116089,,
Venezia,Frankfurt am Main,1020357,46740,,
Zagreb,Frankfurt am Main,1033049,44520,,
London,Wroclaw,1522894,74160,,
Warsaw,Wroclaw,464684,23040,,
Tille,Wroclaw,1700870,80726,,
Seville,Ferno,-1,-1,,
Rinas,Ferno,-1,-1,,
Vienna,Ferno,-1,-1,,
Seville,El Matorral,-1,-1,,
Vienna,El Matorral,-1,-1,,
Warsaw,El Matorral,-1,-1,,
Seville,Catania,3422541,121740,,
Caselle Torinese,Catania,-1,-1,,
Venezia,Catania,1234433,61111,,
Stavanger,Oslo,584836,33060,,
Goleniow,Oslo,-1,-1,,
Trondheim,Oslo,469804,28020,,
Svolvaer,Bodo,147845,13917,,
Trondheim,Bodo,725223,36000,,
Moscow,Grozny,3147441,126600,,
Moscow,Grozny,3147441,126600,,
Valencia,Postage,-1,-1,,
Zurich,Postage,-1,-1,,
Caselle Torinese,Gothenburg,2259204,98760,,
Zurich,Gothenburg,1789442,73200,,
Stavanger,Alicante,3770352,233940,,
Trondheim,Alicante,4432922,275400,,
Rinas,Luton,2558860,143449,,
Warsaw,Luton,1884003,73800,,
Moscow,Samara,1569205,52860,,
Moscow,Samara,1569205,52860,,
Moscow,Murmansk,4217130,126240,,
Moscow,Murmansk,4217130,126240,,
Seville,Pisa,2596825,89520,,
Rinas,Pisa,1068551,76849,,
Rinas,Bari,263516,48589,,
Venezia,Bari,1012622,43200,,
Treviso,Vienna,659576,39240,,
Zagreb,Vienna,370036,18300,,
Treviso,Valencia,1769274,96480,,
Wroclaw,Valencia,2549567,107945,,
Vienna,Cluj,879750,50100,,
Warsaw,Cluj,1042113,88440,,
Seville,Manchester,3031190,110100,,
Venezia,Manchester,2073493,78480,,
Seville,Nuremberg,2917968,83100,,
Rinas,Nuremberg,1651448,106969,,
